tahun,jenis_ikan,jenis_budidaya,produksi
2017,Mas,1,70
2017,Nila,1,52
2017,Gurame,1,64
2017,Patin,1,18
2017,Lele,1,15
2017,Kerapu Bebek,0,47
2017,Kerapu Macan,0,20
2017,Kerapu Hybrid,0,83
2017,Kakap Putih,0,17
2017,Bawal Bintang,0,55
2017,Udang Vaname,0,65
2017,Ikan Lainnya,1,25
2018,Mas,1,95
2018,Nila,1,58
2018,Gurame,1,31
2018,Patin,1,22
2018,Lele,1,23
2018,Kerapu Macan,0,16
2018,Kerapu Hybrid,0,24
2018,Kakap Putih,0,88
2018,Udang Windu,0,45
2018,Udang Vaname,1,15
2018,Ikan Lainnya,0,26
